,,,State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
Year,ICPSR State Code,Alphanumeric State Code,,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2010,32,17,Kansas,0.4260,0.4170,0.3920,857658,838790,2011807,2137815,0.0520,9051,3704,5063,15287,
2010,51,18,Kentucky,0.4430,0.4240,0.4070,1417995,1356468,3198252,3332204,0.0240,20544,25688,14628,53546,
2010,45,19,Louisiana,0.4000,0.3890,0.3680,1298649,1264994,3249634,3438247,0.0270,39445,42599,26202,95145,
2010,2,20,Maine,0.5590,0.5520,0.5430,580584,572766,1038201,1055605,0.0160,0,0,0,0,
2010,52,21,Maryland,0.4670,0.4640,0.4180,1868179,1857880,4001687,4449617,0.0880,22645,26164,13195,55407,
2010,3,22,Massachusetts,0.4940,0.4890,0.4460,2319963,2297039,4694553,5152976,0.0870,11312,0,0,11312,
2010,23,23,Michigan,0.4510,0.4450,0.4270,3268217,3226088,7245895,7555742,0.0350,44113,0,0,44113,
2010,33,24,Minnesota,0.5580,0.5540,0.5210,2123369,2107021,3803192,4041199,0.0450,9796,42661,5807,55361,
2010,46,25,Mississippi,,0.3700,0.3550,,788549,2129334,2220094,0.0180,21067,26793,6434,51077,
2010,34,26,Missouri,0.4570,0.4450,0.4240,1997271,1943899,4366880,4581260,0.0260,30623,54916,19421,95250,
2010,64,27,Montana,0.4840,0.4750,0.4680,367096,360341,758663,770601,0.0110,3716,0,0,3716,
2010,35,28,Nebraska,0.3870,0.3750,0.3550,503514,487988,1301746,1375023,0.0470,4587,4080,941,9138,
2010,65,29,Nevada,0.4140,0.4130,0.3530,723515,721404,1747288,2046400,0.1350,12653,8067,4964,23202,
2010,4,30,New Hampshire,0.4610,0.4570,0.4420,461423,456588,999985,1033023,0.0290,2761,0,0,2761,
2010,12,31,New Jersey,0.3770,0.3640,0.3140,2200974,2121584,5834037,6750869,0.1220,25007,57517,15563,90306,
2010,66,32,New Mexico,0.4470,0.4280,0.3880,630013,602827,1408990,1552212,0.0770,6659,14855,3146,23087,
2010,13,33,New York,0.3630,0.3550,0.3080,4763899,4658586,13141036,15111583,0.1250,56656,0,48542,80927,
2010,47,34,North Carolina,0.3980,0.3920,0.3640,2700706,2660079,6787238,7310093,0.0610,40116,36740,3621,78667,
2010,36,35,North Dakota,0.4660,0.4620,0.4530,241039,238812,516981,527497,0.0170,1487,0,0,1487,
2010,24,36,Ohio,0.4610,0.4490,0.4360,3956028,3852453,8572548,8826908,0.0230,51712,0,0,51712,
2010,53,37,Oklahoma,0.3910,0.3880,0.3640,1043507,1034767,2667126,2839030,0.0440,26252,20601,2627,48167,
2010,72,38,Oregon,0.5380,0.5260,0.4870,1487210,1453548,2762359,2984806,0.0700,14014,0,0,14014,
2010,14,39,Pennsylvania,0.4240,0.4170,0.4010,4055336,3987551,9566970,9946290,0.0330,51264,0,0,51264,
2010,5,40,Rhode Island,0.4540,0.4480,0.4120,346357,342290,763534,829913,0.0760,3357,0,0,3357,
2010,48,41,South Carolina,0.4030,0.3970,0.3760,1365480,1344198,3388921,3571250,0.0380,23578,21144,6412,47928,
2010,37,42,South Dakota,0.5390,0.5290,0.5150,323410,317083,599568,616113,0.0190,3434,0,2843,4856,
2010,54,43,Tennessee,0.3510,0.3460,0.3280,1620619,1601549,4623157,4878724,0.0350,27451,52178,12157,85708,
2010,49,44,Texas,0.3260,0.3210,0.2690,5066957,4979870,15523149,18487369,0.1350,173649,247136,104763,473167,
2010,67,45,Utah,0.3680,0.3630,0.3360,653274,643307,1773205,1914974,0.0700,6807,0,0,6807,
2010,6,46,Vermont,0.4980,0.4940,0.4850,243617,241605,488942,498254,0.0190,0,0,0,0,
2010,40,47,Virginia,0.3910,0.3870,0.3540,2214505,2189841,5661979,6194717,0.0710,37410,56654,2624,95376,
2010,73,48,Washington,0.5430,0.5310,0.4840,2565589,2511094,4725254,5190736,0.0830,18235,15452,6956,37165,
2010,56,49,West Virginia,0.3720,0.3680,0.3610,536493,529948,1442011,1468812,0.0090,6681,6650,1796,14229,
2010,25,50,Wisconsin,0.5240,0.5200,0.4970,2185021,2171331,4172130,4365214,0.0320,22724,22602,19572,55112,
2010,68,51,Wyoming,0.4600,0.4550,0.4380,190822,188463,414589,430673,0.0240,2112,3231,682,5684,
2008,0,0,United States,0.6220,0.6160,0.5690,132609063,131304731,213313508,230872030,0.0840,1605448,2451085,627680,3144831,4972217
2008,41,1,Alabama,0.6100,0.6080,0.5840,2105622,2099819,3454510,3595708,0.0220,30508,53252,8042,61155,74079
2008,81,2,Alaska,0.6830,0.6800,0.6430,327341,326197,479429,507645,0.0370,5014,6708,1732,9234,60686
2008,61,3,Arizona,0.5740,0.5670,0.4910,2320851,2293475,4046075,4673718,0.1160,39589,82232,7534,84472,90036
2008,42,4,Arkansas,0.5290,0.5250,0.5000,1095958,1086617,2071563,2174846,0.0290,14716,31169,19908,40255,43963
